Location|Position|LocalTime|Conditions|Temperature|Pressure|Humidity
Canberra|-35.2809368,149.1300092,566.760009766|2018-03-05T00:24:41|Rain|+19.7|60.0|1015
Ottawa|45.4215296,-75.6971931,71.8073501587|2015-05-07T14:23:43|Rain|+27.0|1063.0|86
Cairo|30.0444196,31.2357116,26.7389431|2015-04-12T18:53:35|Snow|-14.0|1057.0|81
Perth|-31.9505269,115.8604572,16.3811283112|2015-01-27T01:09:54|Sunny|+14.0|1073.0|32
Melbourne|-37.8136276,144.9630576,10.0668983459|2017-09-20T09:56:34|Sunny|+31.0|1059.0|48
Copenhagen|55.6760968,12.5683372,6.26202344894|2015-03-13T02:56:31|Sunny|+21.0|1057.0|63
Santiago|-33.4488897,-70.6692655,544.221313477|2018-08-03T23:01:54|Rain|+19.0|1056.0|87
Santiago|-33.4488897,-70.6692655,544.221313477|2019-03-28T19:42:00|Rain|+19.0|1056.0|87
Copenhagen|55.6760968,12.5683372,6.26202344894|2017-01-29T14:54:56|Sunny|+21.0|1057.0|63
Canberra|-35.2809368,149.1300092,566.760009766|2014-12-21T05:51:37|Rain|+19.7|60.0|1015
Cairo|30.0444196,31.2357116,26.7389431|2014-08-20T01:16:06|Snow|-14.0|1057.0|81
Melbourne|-37.8136276,144.9630576,10.0668983459|2016-02-05T17:22:28|Rain|+24.8|57.0|1010
Ottawa|45.4215296,-75.6971931,71.8073501587|2016-12-23T15:37:33|Rain|+27.0|1063.0|86
Cairo|30.0444196,31.2357116,26.7389431|2018-09-11T17:10:05|Snow|-14.0|1057.0|81
Sofia|42.6977082,23.3218675,552.166625977|2017-01-21T22:31:49|Sunny|-8.0|1068.0|61
Vienna|48.2081743,16.3738189,178.326721191|2015-04-22T00:17:41|Rain|+25.0|1054.0|85
Delhi|28.7040592,77.1024902,218.043960571|2014-04-30T08:02:38|Sunny|-19.0|1070.0|60
Cairo|30.0444196,31.2357116,26.7389431|2016-07-11T02:02:04|Snow|-14.0|1057.0|81
Brussels|50.8503463,4.3517211,18.4398479462|2018-12-09T13:32:25|Snow|-16.0|1063.0|74
Ottawa|45.4215296,-75.6971931,71.8073501587|2015-02-11T06:13:40|Rain|+27.0|1063.0|86
